DOI,Abstract,Label,n_chars,word_count,contains_ML,contains_DL,contains_NN,contains_AI,contains_PM,baseline_pred
10.1155/2021/1071145,"forward-looking forecasting of the inflation rate could help the central bank and other government departments to better use monetary policy to stabilize prices and prevent the impact of inflation on market entities, especially for low- and middle-income groups. it can also help financial institutions and investors better make investment decisions. in this sense, the forecast of inflation rate is of great significance. the existing literature mainly uses linear models such as autoregressive (ar) and vector autoregressive (var) models to predict the inflation rate. the nonlinear relationship between variables and the mining of historical data information are relatively lacking. therefore, the prediction strategies and accuracy of the existing literature need to be improved. the predictive model designed in deep learning can fully mine the nonlinear relationship between variables and process complex long-term time series dynamic information, thereby making up for the deficiencies of existing research. therefore, this paper employs the recurrent neural networks with gated recurrent unit (gru-rnn) model to train and analyze the consumer price index (cpi) indicators to obtain inflation-related prediction results. the experimental results on historical data show that the gru-rnn model has good performance in predicting china's inflation rate. in comparison, the performance of the proposed method is significantly better than some traditional models, showing its superior effectiveness.",1,1502,211,0,1,1,0,1,1
10.1007/s43546-022-00384-2,"our study examined the disaggregation of inflation components in nigeria using the stacked ensemble approach, a machine learning algorithm capable of compensating the weakness of an ensemble and a base learner with the strength of another. this approach gives flexibility of a synergistic performance of stacking each base learner and produces a formidable model that yields a high level of accuracy and predictive ability. we analyzed the test data, out-of-sample, and our analyses reveals a robust inflation prediction results. in particular, we show that food cpi is the most important driver for headline urban, and rural inflation while bread and cereals is the most important driver for food inflation in nigeria. also, biscuits, agric rice, garri white were found to be among the top main drivers of bread and cereal inflation. our study further shows that some components of the cpi baskets that majorly drive inflation were assigned lower weights. hence, attention to cpi weights only, without recourse to understanding the tipping source, may undermined a successful control of inflation in nigeria. tracing and tracking the source of inflation to the least sub-component will help resolve inflation problem.",1,1218,188,1,0,0,0,0,1
10.1002/for.2667,"this paper develops a dynamic factor model that uses euro area country-specific information on output and inflation to estimate an area-wide measure of the output gap. our model assumes that output and inflation can be decomposed into country-specific stochastic trends and a common cyclical component. comovement in the trends is introduced by imposing a factor structure on the shocks to the latent states. we moreover introduce flexible stochastic volatility specifications to control for heteroscedasticity in the measurement errors and innovations to the latent states. carefully specified shrinkage priors allow for pushing the model towards a homoscedastic specification, if supported by the data. our measure of the output gap closely tracks other commonly adopted measures, with small differences in magnitudes and timing. to assess whether the model-based output gap helps in forecasting inflation, we perform an out-of-sample forecasting exercise. the findings indicate that our approach yields superior inflation forecasts, both in terms of point and density predictions.",0,1083,156,0,0,0,0,0,0
10.1007/s42973-021-00091-x,"in this paper, i use a simple sir macro model to examine japan’s soft lockdown policies in 2021 under the covid-19 crisis. as real-time research, this paper consists of two parts written during two different research periods. the first part, which was originally reported in february 2021, studies the japan’s second soft lockdown policy (state of emergency declaration) from january to march 2021. after the model is calibrated using 2020 data, the results show that a long enough lockdown can avoid future lockdowns, improving both the infection and the economy. in addition, i propose the icu targeting policy, which keeps the number of severe patients at a constant level, mimicking the monetary policy’s inflation targeting. the model’s prediction is evaluated from an ex-post perspective in the second part, written in july 2021. i find that the model broadly captures the realized consequences of the second soft lockdown and the subsequent paths. furthermore, the simulation is projected to the end of the pandemic under a revised scenario, incorporating the proliferation of covid-19 variants. finally, i discuss the effectiveness of the inverse lockdown (economic stimulus) policy in the fall of 2021 under the dynamic infection externality.",0,1251,194,0,0,0,0,0,0
10.1007/s40258-012-0003-z,"backgroundgame theory is useful for identifying conditions under which individual stakeholders in a collective action problem interact in ways that are more cooperative and in the best interest of the collective. the literature applying game theory to healthcare markets predicts that when providers set prices for services autonomously and in a noncooperative fashion, the market will be susceptible to ongoing price inflation.objectiveswe compare the traditional fee-for-service pricing framework with an alternative framework involving modified doctor, hospital and insurer pricing and incentive strategies. while the fee-for-service framework generally allows providers to set prices autonomously, the alternative framework constrains providers to interact more cooperatively.methodswe use community-level provider and insurer data to compare provider and insurer costs and patient wellness under the traditional and modified pricing frameworks. the alternative pricing framework assumes (i) providers agree to manage all outpatient claims; (ii) the insurer agrees to manage all inpatient clams; and (iii) insurance premiums are tied to patients’ healthy behaviours.results and conclusionsconsistent with game theory predictions, the more cooperative alternative pricing framework benefits all parties by producing substantially lower administrative costs along with higher profit margins for the providers and the insurer. with insurance premiums tied to consumers’ risk-reducing behaviours, the cost of insurance likewise decreases for both the consumer and the insurer.",0,1576,209,0,0,0,0,0,0
10.1136/tc-2021-057232,"background: between 2010 and 2020, the new zealand (nz) government increased tobacco excise tax by inflation plus 10% each year. we reviewed market structure changes and examined whether nz tobacco companies shifted excise tax increases to maintain the affordability of lower priced cigarette brands. methods: we cluster-analysed market data that tobacco companies supply to the nz ministry of health, created four price partitions and examined the size and share of these over time. for each partition, we analysed cigarette brand numbers and market share, calculated the volume-weighted real stick price for each year and compared this price across different price partitions. we calculated the net real retail price (price before tax) for each price partition and compared these prices before and after plain packaging took effect. results: the number and market share of super value and budget brands increased, while those of everyday and premium brands decreased. differences between the price of premium and super value brands increased, as did the net retail price difference for these partitions. following plain packaging's implementation, super value brand numbers more than doubled; contrary to industry predictions, the price difference between these and higher priced brands did not narrow. conclusions: between 2010 and 2020, nz tobacco companies introduced more super value cigarette brands and shifted excise tax increases to reduce the impact these had on low-priced brands. setting a minimum retail price for cigarettes could curtail tobacco companies' ability to undermine tobacco taxation policies designed to reduce smoking.",1,1646,244,0,0,0,0,0,0
10.1016/j.ssresearch.2019.102351,"for decades, western societies have experienced educational expansion accompanied by an upgrading of skills. the literature provides competing hypotheses on the consequences for educational wage returns - among them are the positional value theory, routine-biased technological change, and the social closure theory. we test these theoretical perspectives empirically on young, male full-time workers in west germany between 1976 and 2010 in two ideal-type occupational segments using 2.34 million administrative earnings records (sample of integrated labor market biographies, siab). our findings show no credential inflation across all levels of education. instead, the picture in both segments - negative effects of educational expansion on the returns to medium- but not high-level skills - confirms the predictions of routine-biased technological change. wage premiums for medium-skilled workers differ between segments: the premiums worsen over time in the general segment whereas social-closure mechanisms seem to weaken this negative trend for vocational graduates in the specific segment.",0,1097,151,0,0,0,0,0,0
10.1080/02664763.2020.1732885,"when prediction intervals are constructed using unobserved component models (ucm), problems can arise due to the possible existence of components that may or may not be conditionally heteroscedastic. accurate coverage depends on correctly identifying the source of the heteroscedasticity. different proposals for testing heteroscedasticity have been applied to ucm; however, in most cases, these procedures are unable to identify the heteroscedastic component correctly. the main issue is that test statistics are affected by the presence of serial correlation, causing the distribution of the statistic under conditional homoscedasticity to remain unknown. we propose a nonparametric statistic for testing heteroscedasticity based on the well-known wilcoxon's rank statistic. we study the asymptotic validation of the statistic and examine bootstrap procedures for approximating its finite sample distribution. simulation results show an improvement in the size of the homoscedasticity tests and a power that is clearly comparable with the best alternative in the literature. we also apply the test on real inflation data. looking for the presence of a conditionally heteroscedastic effect on the error terms, we arrive at conclusions that almost all cases are different than those given by the alternative test statistics presented in the literature.",0,1352,193,0,0,0,0,0,0
10.1097/01.mlr.0000118873.10396.fc,"objective: the objective of this study was to estimate the cost of eliminating the 24-month waiting period for medicare entitlement for social security disabled-worker beneficiaries. there is concern that the waiting period could currently result in reduced access to health care. data: : the study linked social security and medicare administrative records. methods: social security records were used to identify a 20% sample of disabled workers aged 61 or less and newly entitled to social security disability insurance (ssdi) in 1995 (n = 105,328). these records were linked to medicare enrollment and claims data for 1997-2000. cost prediction models were developed from the linked data to predict monthly medicare costs. the prediction models were then used to estimate what medicare costs would have been in the first 24 months of ssdi entitlement if the waiting period had been eliminated. results: among the sample of new ssdi entitlees in 1995, 11.8% died during the waiting period, 2.1% recovered, and 86.1% became entitled to medicare. for the first 24 months of ssdi entitlement, medicare costs were predicted to be 10,055 us dollars per disabled worker in year 2000 dollars. costs varied substantially by diagnostic group and whether the person died or recovered during the waiting period. conclusions: extrapolating from the study sample, predicted medicare costs for the 24-month waiting period were 5.3 billion us dollars (inflation-adjusted to year 2000 dollars) for all disabled workers aged 61 or less and newly entitled to ssdi in 1995.",0,1556,243,0,0,0,0,0,0
10.1016/j.mex.2021.101226,"money demand is one of the most important economic variables which are a critical component in appointing and choosing appropriate monetary policy, because it determines the transmission of policy-driven change in monetary aggregates to the real sector. in this paper, the data of economic indicators in iran are presented for estimating the money demand using biogeography-based optimization (bbo) algorithm, particle swarm optimization (pso) algorithm, and a new hybrid metaheuristic method based on biogeography-based optimization and particle swarm optimization algorithm (bbpso). the data are used in two forms (i.e. linear and exponential) to estimate money demand values based on true liquidity, consumer price index, gdp, lending interest rate, inflation, and official exchange rate. the available data are partly used for finding optimal or near-optimal values of weighting parameters (1974-2013) and partly for testing the models (2014-2018). the performance of methods is evaluated using mean squared error (mse), root mean squared error (rmse), and mean absolute error (mae). according to the simulation results, the proposed method (i.e. bbpso) outperformed the other models. the findings proved that the recommended method was an appropriate tool for effective money demand prediction in iran. these data were the result of a comprehensive look at the most influential factors for money market demand. with this method, the demand side of this market was clearly defined. along with other markets, the consequences of economic policy could be analyzed and predicted. • the article provides a method for observing the effect of economic scenarios on the money market and the analysis obtained by this proposed method allows experts, public sector economics, and monetary economist to see a clearer explanation of the country's liquidity plan. • the method presented in this article can be beneficial for the policy makers and monetary authorities during their decision-making process.",1,1997,296,0,0,0,0,0,0
